"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Jonathan Taylor (IND)","332","1,811","5.5","83","30","18","40","51","360","9.0","2","2","17","353.1","20.8","100.0%"
"2","Austin Ekeler (LAC)","206","911","4.4","28","3","12","70","94","647","9.2","8","3","16","308.8","19.3","99.9%"
"3","Joe Mixon (CIN)","292","1,205","4.1","32","7","13","42","48","314","7.5","3","1","16","266.9","16.7","99.9%"
"4","Najee Harris (PIT)","307","1,200","3.9","37","8","7","74","94","467","6.3","3","0","17","263.7","15.5","99.9%"
"5","James Conner (ARI)","202","752","3.7","35","4","15","37","39","375","10.1","3","0","15","239.2","15.9","99.1%"
"6","Ezekiel Elliott (DAL)","237","1,002","4.2","47","5","10","47","65","287","6.1","2","1","17","228.6","13.4","98.3%"
"7","Leonard Fournette (TB)","180","812","4.5","47","7","8","69","84","454","6.6","2","0","14","221.1","15.8","99.8%"
"8","Alvin Kamara (NO)","240","898","3.7","30","4","4","47","67","439","9.3","5","0","13","211.2","16.2","99.9%"
"9","Cordarrelle Patterson (ATL)","153","618","4.0","39","3","6","52","69","548","10.5","5","0","16","208.6","13.0","88.9%"
"10","Antonio Gibson (WAS)","258","1,037","4.0","27","4","7","42","52","294","7.0","3","4","16","208.1","13.0","94.5%"
"11","Nick Chubb (CLE)","228","1,259","5.5","70","20","8","20","25","174","8.7","1","1","14","205.3","14.7","99.7%"
"12","Aaron Jones (GB)","171","799","4.7","57","8","4","52","65","391","7.5","6","1","15","203.0","13.5","99.8%"
"13","Damien Harris (NE)","202","929","4.6","64","14","15","18","20","132","7.3","0","2","15","201.1","13.4","90.0%"
"14","Josh Jacobs (LV)","217","872","4.0","28","2","9","54","64","348","6.4","0","2","15","199.0","13.3","95.9%"
"15","Dalvin Cook (MIN)","249","1,159","4.7","66","14","6","34","49","224","6.6","0","2","13","189.3","14.6","99.9%"
"16","Derrick Henry (TEN)","219","937","4.3","76","9","10","18","20","154","8.6","0","0","8","184.3","23.0","99.9%"
"17","Javonte Williams (DEN)","203","903","4.4","49","11","4","43","53","316","7.3","3","1","17","183.4","10.8","99.0%"
"18","Melvin Gordon III (DEN)","203","918","4.5","70","8","8","28","38","213","7.6","2","3","16","181.2","11.3","81.7%"
"19","D'Andre Swift (DET)","151","617","4.1","57","7","5","62","78","452","7.3","2","1","13","177.9","13.7","99.8%"
"20","Devin Singletary (BUF)","188","870","4.6","46","10","7","40","50","228","5.7","1","0","17","177.8","10.5","90.7%"
"21","David Montgomery (CHI)","225","849","3.8","41","7","7","42","51","301","7.2","0","1","14","175.0","12.5","97.0%"
"22","Darrel Williams (ARI)","144","558","3.9","21","1","6","47","57","452","9.6","2","0","17","172.5","10.1","9.6%"
"23","AJ Dillon (GB)","187","803","4.3","36","3","5","34","37","313","9.2","2","1","17","168.6","9.9","90.1%"
"24","James Robinson (JAC)","164","767","4.7","58","7","8","31","46","222","7.2","0","2","14","158.4","11.3","71.7%"
"25","Elijah Mitchell (SF)","207","963","4.7","39","9","5","19","20","137","7.2","1","0","12","155.5","13.0","94.1%"
"26","Myles Gaskin (MIA)","173","612","3.5","30","3","3","49","63","234","4.8","4","1","17","149.1","8.8","2.5%"
"27","Darrell Henderson Jr. (LAR)","149","688","4.6","29","1","5","29","40","176","6.1","3","0","12","148.9","12.4","44.3%"
"28","Tony Pollard (DAL)","130","719","5.5","58","8","2","39","46","337","8.6","0","0","15","143.1","9.5","87.8%"
"29","Michael Carter (NYJ)","147","639","4.3","55","8","4","36","55","325","9.0","0","1","14","136.4","9.7","67.1%"
"30","Sony Michel (MIA)","208","845","4.1","39","3","4","21","33","128","6.1","1","1","17","135.8","8.0","9.2%"
"31","Devonta Freeman (FA)","133","576","4.3","32","6","5","34","42","190","5.6","1","0","16","129.6","8.1","0.1%"
"32","Saquon Barkley (NYG)","162","593","3.7","41","6","2","41","57","263","6.4","2","1","14","128.1","9.2","99.5%"
"33","Chuba Hubbard (CAR)","172","612","3.6","26","3","5","25","37","174","7.0","1","1","16","125.1","7.8","7.4%"
"34","Devontae Booker (FA)","145","593","4.1","31","4","2","40","45","268","6.7","1","0","16","124.1","7.8","0.1%"
"35","Chase Edmonds (MIA)","116","592","5.1","54","8","2","43","53","311","7.2","0","1","12","121.8","10.2","85.6%"
"36","Rashaad Penny (SEA)","119","749","6.3","62","20","6","6","8","48","8.0","0","0","10","118.7","11.9","85.9%"
"37","Mike Davis (BAL)","138","503","3.6","18","0","3","44","58","259","5.9","1","3","17","116.2","6.8","2.2%"
"38","Alexander Mattison (MIN)","134","491","3.7","48","4","3","32","39","228","7.1","1","1","16","109.9","6.9","47.5%"
"39","Christian McCaffrey (CAR)","99","442","4.5","18","0","1","37","41","343","9.3","1","0","7","109.0","15.6","99.9%"
"40","Rhamondre Stevenson (NE)","133","606","4.6","21","1","5","14","18","123","8.8","0","1","12","107.9","9.0","84.8%"
"41","Clyde Edwards-Helaire (KC)","119","517","4.3","17","0","4","19","23","118","6.2","2","2","10","107.0","10.7","90.2%"
"42","Kenneth Gainwell (PHI)","68","291","4.3","18","0","5","33","50","253","7.7","1","1","16","106.9","6.7","28.5%"
"43","Jamaal Williams (DET)","153","601","3.9","20","1","3","26","28","157","6.0","0","0","13","106.8","8.2","29.2%"
"44","J.D. McKissic (WAS)","48","212","4.4","15","0","2","43","53","397","9.2","2","0","11","106.4","9.7","38.0%"
"45","Miles Sanders (PHI)","137","754","5.5","38","9","0","26","34","158","6.1","0","1","12","104.2","8.7","89.9%"
"46","Brandon Bolden (LV)","44","226","5.1","24","2","1","41","49","405","9.9","2","0","16","103.6","6.5","0.1%"
"47","Ty Johnson (NYJ)","61","238","3.9","24","2","2","34","55","372","10.9","2","1","15","100.0","6.7","0.2%"
"48","Kareem Hunt (CLE)","78","386","4.9","33","3","5","22","27","174","7.9","0","0","8","99.0","12.4","88.4%"
"49","Latavius Murray (FA)","119","501","4.2","46","5","6","10","13","75","7.5","0","0","14","98.6","7.0","0.1%"
"50","Mark Ingram II (NO)","160","554","3.5","28","2","2","27","35","162","6.0","0","1","14","95.1","6.8","14.8%"
"51","D'Ernest Johnson (CLE)","100","534","5.3","30","5","3","19","25","137","7.2","0","0","13","94.6","7.3","2.9%"
"52","Zack Moss (BUF)","96","345","3.6","17","0","4","23","32","197","8.6","1","1","13","93.7","7.2","2.0%"
"53","Nyheim Hines (IND)","56","276","4.9","34","3","2","40","57","310","7.8","1","2","17","92.6","5.4","61.6%"
"54","Boston Scott (PHI)","87","373","4.3","23","2","7","13","16","83","6.4","0","1","11","92.1","8.4","2.2%"
"55","Rex Burkhead (HOU)","122","427","3.5","36","3","3","25","32","186","7.4","0","0","15","91.8","6.1","3.5%"
"56","D'Onta Foreman (CAR)","133","566","4.3","35","6","3","9","11","123","13.7","0","1","9","89.4","9.9","7.0%"
"57","Kenyan Drake (FA)","63","254","4.0","21","1","2","30","40","291","9.7","1","0","12","87.5","7.3","6.2%"
"58","Justin Jackson (DET)","68","364","5.4","75","5","2","22","25","178","8.1","0","1","14","75.2","5.4","0.7%"
"59","Ronald Jones II (KC)","101","428","4.2","30","2","4","10","13","64","6.4","0","2","15","74.2","4.9","27.4%"
"60","Khalil Herbert (CHI)","103","433","4.2","29","4","2","14","16","96","6.9","0","0","16","71.9","4.5","20.0%"
"61","Ameer Abdullah (LV)","51","166","3.3","15","0","0","38","53","289","7.6","1","0","17","70.5","4.1","0.8%"
"62","Samaje Perine (CIN)","55","246","4.5","46","4","1","27","31","196","7.3","1","0","15","69.7","4.6","3.7%"
"63","David Johnson (FA)","67","228","3.4","15","0","0","32","42","225","7.0","1","1","13","65.3","5.0","0.1%"
"64","Alex Collins (FA)","108","411","3.8","25","2","2","9","10","87","9.7","0","1","11","64.3","5.8","19.0%"
"65","Dontrell Hilliard (TEN)","56","350","6.3","68","6","2","19","26","87","4.6","0","1","8","63.2","7.9","2.3%"
"66","Jordan Howard (FA)","86","406","4.7","25","1","3","2","5","19","9.5","0","0","7","61.5","8.8","0.1%"
"67","Jeremy McNichols (PIT)","41","156","3.8","14","0","0","28","38","240","8.6","1","0","13","59.6","4.6","0.1%"
"68","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","30","38","296","9.9","1","0","15","58.8","3.9","0.4%"
"69","Duke Johnson Jr. (BUF)","71","330","4.6","27","1","3","4","5","41","10.3","0","0","5","57.1","11.4","0.2%"
"70","Travis Homer (SEA)","21","177","8.4","73","5","1","16","20","161","10.1","0","0","14","53.8","3.8","0.3%"
"71","Damien Williams (ATL)","40","164","4.1","23","1","2","16","23","103","6.4","1","0","12","52.7","4.4","1.6%"
"72","Derrick Gore (KC)","51","256","5.0","51","5","2","8","9","105","13.1","0","0","8","52.1","6.5","0.1%"
"73","Jaret Patterson (WAS)","68","266","3.9","13","0","2","10","12","73","7.3","0","0","14","50.9","3.6","0.1%"
"74","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","21","23","133","6.3","0","0","17","49.6","2.9","0.9%"
"75","Jeff Wilson Jr. (SF)","79","294","3.7","17","0","2","7","8","31","4.4","0","0","9","48.0","5.3","1.5%"
"76","Giovani Bernard (TB)","8","58","7.3","24","1","0","23","29","123","5.3","3","0","10","47.6","4.8","0.5%"
"77","Tevin Coleman (NYJ)","84","356","4.2","20","1","0","11","16","49","4.5","0","0","11","46.0","4.2","0.2%"
"78","Chris Carson (FA)","54","232","4.3","33","4","3","6","6","29","4.8","0","1","4","45.1","11.3","1.5%"
"79","Peyton Barber (FA)","55","212","3.9","27","1","2","10","13","67","6.7","0","0","10","44.9","4.5","1.0%"
"80","Dare Ogunbowale (HOU)","43","137","3.2","12","0","1","13","21","114","8.8","1","0","13","43.6","3.4","0.3%"
"81","Phillip Lindsay (IND)","88","249","2.8","35","2","1","4","5","45","11.3","1","0","14","43.4","3.1","0.8%"
"82","Chris Evans (CIN)","17","77","4.5","13","0","0","15","17","151","10.1","2","0","9","42.3","4.7","2.1%"
"83","Demetric Felton Jr. (CLE)","7","24","3.4","12","0","0","18","21","181","10.1","2","0","15","41.5","2.8","0.1%"
"84","Carlos Hyde (FA)","72","253","3.5","18","0","1","12","22","65","5.4","0","2","12","39.8","3.3","0.1%"
"85","Matt Breida (NYG)","26","125","4.8","28","1","1","7","9","72","10.3","2","1","7","39.2","5.6","1.3%"
"86","JaMycal Hasty (SF)","16","68","4.3","21","1","1","23","29","157","6.8","0","1","11","38.0","3.5","0.1%"
"87","Ty'Son Williams (IND)","35","185","5.3","35","3","1","9","12","84","9.3","0","0","8","37.4","4.7","0.0%"
"88","Le'Veon Bell (FA)","39","101","2.6","12","0","2","5","7","30","6.0","1","0","8","35.6","4.5","0.1%"
"89","Ke'Shawn Vaughn (TB)","36","180","5.0","55","4","2","4","8","26","6.5","0","0","6","34.6","5.8","1.1%"
"90","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","12","19","117","9.8","0","0","11","32.6","3.0","0.1%"
"91","Craig Reynolds (DET)","55","230","4.2","35","3","0","7","8","52","7.4","0","0","5","31.7","6.3","0.3%"
"92","Elijhaa Penny (FA)","24","99","4.1","12","0","1","9","13","30","3.3","1","0","13","31.4","2.4","0.0%"
"93","Royce Freeman (HOU)","56","169","3.0","13","0","0","10","16","77","7.7","0","0","12","29.6","2.5","0.1%"
"94","Jerick McKinnon (KC)","12","62","5.2","18","0","0","13","20","107","8.2","1","0","9","29.4","3.3","3.7%"
"95","Trey Sermon (SF)","41","167","4.1","16","0","1","3","4","26","8.7","0","0","6","26.8","4.5","3.0%"
"96","Corey Clement (FA)","33","140","4.2","38","2","0","6","7","29","4.8","1","0","11","25.9","2.4","0.0%"
"97","James White (FA)","10","38","3.8","10","0","1","12","14","94","7.8","0","0","3","25.2","8.4","1.8%"
"98","Eno Benjamin (ARI)","34","118","3.5","21","1","1","6","7","42","7.0","0","0","8","25.0","3.1","1.9%"
"99","Adrian Peterson (FA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","24.6","6.2","2.1%"
"100","C.J. Ham (MIN)","7","34","4.9","30","2","0","17","18","125","7.4","0","0","15","24.4","1.6","0.1%"
"101","Jermar Jefferson (DET)","15","74","4.9","28","1","2","4","5","23","5.8","0","0","5","23.7","4.7","0.6%"
"102","Ty Montgomery (NE)","15","44","2.9","9","0","0","16","26","95","5.9","0","0","14","21.9","1.6","1.0%"
"103","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","4","5","9","2.3","0","0","9","21.0","2.3","0.8%"
"104","Malcolm Brown (FA)","33","125","3.8","24","1","1","3","5","10","3.3","0","0","6","21.0","3.5","0.1%"
"105","Alec Ingold (MIA)","2","1","0.5","1","0","0","10","12","85","8.5","1","0","7","19.6","2.8","0.0%"
"106","Tony Jones Jr. (NO)","54","142","2.6","11","0","0","5","8","29","5.8","0","0","10","19.6","2.0","0.1%"
"107","Jonathan Williams (WAS)","17","79","4.6","23","1","1","4","6","28","7.0","0","0","5","18.7","3.7","0.0%"
"108","Austin Walter (LV)","26","101","3.9","14","0","1","2","3","9","4.5","0","0","4","18.0","4.5","0.0%"
"109","Qadree Ollison (ATL)","21","105","5.0","19","0","1","4","6","12","3.0","0","1","6","17.7","3.0","0.1%"
"110","Jalen Richard (FA)","9","40","4.4","23","1","0","12","14","72","6.0","0","0","9","17.2","1.9","1.0%"
"111","Patrick Ricard (BAL)","2","4","2.0","2","0","0","8","13","63","7.9","1","0","8","16.7","2.1","0.1%"
"112","J.J. Taylor (NE)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","16.5","3.3","0.2%"
"113","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","16.2","3.2","0.1%"
"114","Godwin Igwebuike (DET)","18","118","6.6","42","3","1","7","10","60","8.6","0","2","15","16.0","1.1","0.1%"
"115","Larry Rountree III (LAC)","36","87","2.4","13","0","1","1","2","-1","-1.0","0","0","10","15.1","1.5","0.2%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","5","6","38","7.6","0","1","8","14.5","1.8","2.0%"
"117","Michael Burton (KC)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","13.2","1.3","0.0%"
"118","Keith Smith (ATL)","9","31","3.4","8","0","0","9","10","56","6.2","0","0","13","13.2","1.0","0.0%"
"119","Wayne Gallman Jr. (FA)","28","104","3.7","17","0","0","1","3","21","21.0","0","0","9","13.0","1.4","0.0%"
"120","Benny Snell Jr. (PIT)","36","98","2.7","9","0","0","2","4","13","6.5","0","0","16","12.1","0.8","1.0%"
"121","Marlon Mack (HOU)","28","101","3.6","22","1","0","2","5","8","4.0","0","0","6","11.9","2.0","34.0%"
"122","Ryquell Armstead (JAC)","15","80","5.3","26","1","0","3","4","16","5.3","0","0","2","11.1","5.6","0.0%"
"123","Andy Janovich (FA)","2","0","0.0","1","0","1","3","4","9","3.0","0","0","6","10.4","1.7","0.0%"
"124","Deon Jackson (IND)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.1%"
"125","JaQuan Hardy (DEN)","4","29","7.3","22","1","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
"126","Alex Armah Jr. (FA)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","8.7","0.9","0.0%"
"127","Johnny Stanton IV (CLE)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","8.2","2.7","0.0%"
"128","Jonathan Ward (ARI)","9","33","3.7","7","0","0","3","4","34","11.3","0","0","9","8.2","0.9","0.0%"
"129","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","7.3","7.3","0.0%"
"130","Wendell Smallwood (FA)","5","25","5.0","13","0","0","4","5","22","5.5","0","0","2","6.7","3.4","0.0%"
"131","Mike Boone (DEN)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","6.7","2.2","0.1%"
"132","Ito Smith (FA)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"133","Jakob Johnson (LV)","0","0","0","0","0","0","4","5","43","10.8","0","0","7","6.3","0.9","0.1%"
"134","Trayveon Williams (CIN)","15","51","3.4","10","0","0","1","2","4","4.0","0","0","4","6.0","1.5","0.1%"
"135","Kalen Ballage (FA)","12","36","3.0","13","0","0","2","7","8","4.0","0","0","9","5.4","0.6","0.0%"
"136","Jason Huntley (PHI)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.1%"
"137","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","3","5","23","7.7","0","0","8","4.1","0.5","0.0%"
