"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","107","153","1,361","12.7","43","27","9","1","0","0","0","17","247.6","14.6","99.9%"
"2","Travis Kelce (KC)","92","134","1,125","12.2","69","20","9","2","3","1","1","16","216.8","13.6","100.0%"
"3","Dalton Schultz (DAL)","78","104","808","10.4","32","8","8","0","0","0","0","17","169.8","10.0","97.4%"
"4","George Kittle (SF)","71","94","910","12.8","48","17","6","3","20","0","1","14","162.5","11.6","99.1%"
"5","Rob Gronkowski (FA)","55","88","802","14.6","42","20","6","0","0","0","0","12","143.7","12.0","8.3%"
"6","Zach Ertz (ARI)","74","112","763","10.3","47","9","5","1","4","0","0","17","143.7","8.5","91.3%"
"7","Kyle Pitts (ATL)","68","110","1,026","15.1","61","25","1","0","0","0","0","17","142.6","8.4","99.8%"
"8","Dawson Knox (BUF)","49","71","587","12.0","53","14","9","0","4","0","0","15","139.6","9.3","88.6%"
"9","Hunter Henry (NE)","50","75","603","12.1","35","12","9","0","0","0","0","16","139.3","8.7","74.2%"
"10","Dallas Goedert (PHI)","56","76","830","14.8","45","18","4","0","0","0","0","15","137.0","9.1","93.8%"
"11","Mike Gesicki (MIA)","73","112","780","10.7","40","15","2","0","0","0","0","17","128.5","7.6","81.8%"
"12","Noah Fant (SEA)","68","90","670","9.9","35","9","4","0","0","0","0","16","125.0","7.8","48.2%"
"13","Pat Freiermuth (PIT)","60","79","497","8.3","24","2","7","0","0","0","1","16","121.7","7.6","84.1%"
"14","Tyler Higbee (LAR)","61","85","560","9.2","37","4","5","0","0","0","0","15","116.5","7.8","47.5%"
"15","T.J. Hockenson (DET)","61","84","583","9.6","33","9","4","0","0","0","0","12","114.8","9.6","95.5%"
"16","Jared Cook (FA)","48","83","564","11.8","42","9","4","0","0","0","0","16","108.4","6.8","0.6%"
"17","Tyler Conklin (NYJ)","61","87","593","9.7","40","7","3","0","0","0","0","17","107.8","6.3","1.0%"
"18","Darren Waller (LV)","55","93","665","12.1","33","15","2","0","0","0","0","11","106.0","9.6","99.1%"
"19","C.J. Uzomah (NYJ)","49","63","493","10.1","55","13","5","0","0","0","0","16","103.8","6.5","2.7%"
"20","Gerald Everett (LAC)","48","63","478","10.0","41","8","4","3","20","0","2","15","93.8","6.3","16.6%"
"21","Cole Kmet (CHI)","60","93","612","10.2","25","7","0","1","0","0","0","17","91.2","5.4","67.8%"
"22","David Njoku (CLE)","36","53","475","13.2","71","15","4","1","1","0","0","15","89.6","6.0","51.7%"
"23","Evan Engram (JAC)","46","73","408","8.9","30","3","3","1","-3","0","1","15","79.5","5.3","17.9%"
"24","Austin Hooper (TEN)","38","61","345","9.1","34","5","3","0","0","0","0","15","73.5","4.9","20.2%"
"25","Foster Moreau (LV)","30","44","373","12.4","44","9","3","0","0","0","0","15","70.3","4.7","0.7%"
"26","Mo Alie-Cox (IND)","24","45","316","13.2","37","6","4","0","0","0","0","17","67.6","4.0","4.4%"
"27","Jack Doyle (FA)","29","43","302","10.4","34","4","3","0","0","0","0","15","64.7","4.3","2.0%"
"28","Cameron Brate (TB)","30","57","245","8.2","18","0","4","0","0","0","0","16","63.5","4.0","4.3%"
"29","Albert Okwuegbunam (DEN)","33","40","330","10.0","64","6","2","0","0","0","1","14","59.5","4.3","46.7%"
"30","Dan Arnold (JAC)","35","52","408","11.7","28","2","0","0","0","0","1","11","58.3","5.3","0.8%"
"31","Anthony Firkser (ATL)","34","43","291","8.6","24","1","2","0","0","0","1","15","56.1","3.7","0.1%"
"32","Geoff Swaim (TEN)","31","40","210","6.8","26","2","3","0","0","0","0","16","54.5","3.4","0.1%"
"33","Ricky Seals-Jones (NYG)","30","49","271","9.0","39","2","2","0","0","0","0","11","54.1","4.9","0.6%"
"34","Jonnu Smith (NE)","28","45","294","10.5","28","5","1","9","40","0","0","16","53.4","3.3","1.5%"
"35","Durham Smythe (MIA)","34","41","357","10.5","25","5","0","2","3","0","0","16","53.0","3.3","0.1%"
